RecordID,SubscriberID,SubscriberRole,EventTimestamp,Direction,EventType,CallingNumber,CalledNumber,DurationSec,SMSLength,IMEI,IMSI,CellTowerID,TowerName,Latitude,Longitude,Country
QEGCEWA1UO,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-01-14 02:07:38,MT,VOICE,+527171809638,+16028783077,222,,738196629807888,452236231600576,US201,San Diego East,32.7157,-117.1611,US
17VMRLXDCG,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-01-11 17:08:31,MT,SMS,+527171809638,+16028783077,,39,675590668270724,807322389631191,US202,San Diego Border Zone,32.5421,-117.0318,US
HRAWUIQ8KG,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-06-13 23:37:04,MT,SMS,+527171809638,+16028783077,,96,840370128536894,733450390143121,US202,San Diego Border Zone,32.5421,-117.0318,US
YUGEZ9S26W,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-03-03 18:19:00,MT,VOICE,+527171809638,+16028783077,219,,683578095949809,961965451569864,US203,Los Angeles Downtown,34.0522,-118.2437,US
DWINEL2UT0,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-02-19 16:03:30,MT,VOICE,+527171809638,+16028783077,404,,865659937636171,222496213960720,US102,Tucson Central,32.2226,-110.9747,US
TX4ZS9IEWP,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-02-27 06:36:33,MT,VOICE,+527171809638,+16028783077,426,,184811983634258,597966363799493,SN003,Nogales MX,31.3082,-110.9381,MX
ODSRO5H4RK,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-01-30 05:42:38,MT,SMS,+527171809638,+16028783077,,128,615184098314142,848693492168968,US105,Phoenix West,33.448,-112.103,US
T1EKW0XSBT,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-04-15 07:39:38,MT,SMS,+527171809638,+16028783077,,121,733672866141174,740985821773268,US204,LA South Bay,33.9019,-118.4173,US
RT6V76ZTU0,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-05-14 13:49:59,MT,SMS,+527171809638,+16028783077,,92,121405583121053,357763364166181,US102,Tucson Central,32.2226,-110.9747,US
RRR4G2OLWV,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-03-20 14:53:56,MT,VOICE,+527171809638,+16028783077,431,,532533470812331,539266021759361,US202,San Diego Border Zone,32.5421,-117.0318,US
T8YDGG89R0,CROSS_BORDER_DRIVER003,CROSS_BORDER_DRIVER,2026-02-09 12:08:51,MT,SMS,+527171809638,+16028783077,,38,440750189533080,970504345657864,US201,San Diego East,32.7157,-117.1611,US
