RecordID,SubscriberID,SubscriberRole,EventTimestamp,Direction,EventType,CallingNumber,CalledNumber,DurationSec,SMSLength,IMEI,IMSI,CellTowerID,TowerName,Latitude,Longitude,Country
O3D8DAVC5P,DISTRIBUTOR004,US_DISTRIBUTOR,2026-04-15 16:02:23,MO,VOICE,+13109154348,+523915281049,393,,828222840232425,931370883346678,US105,Phoenix West,33.448,-112.103,US
KKOOZ1MX6Y,DISTRIBUTOR004,US_DISTRIBUTOR,2026-01-03 15:11:12,MO,SMS,+13109154348,+523915281049,,95,797459729914205,764798838191048,US204,LA South Bay,33.9019,-118.4173,US
ZVZCGQE9JT,DISTRIBUTOR004,US_DISTRIBUTOR,2026-03-07 00:10:06,MO,SMS,+13109154348,+523915281049,,120,231652434751406,581865665119765,US203,Los Angeles Downtown,34.0522,-118.2437,US
ICL5SK70NF,DISTRIBUTOR004,US_DISTRIBUTOR,2026-06-20 07:26:25,MO,VOICE,+13109154348,+523915281049,109,,996438305734624,344746465792682,US104,Phoenix South,33.4484,-112.074,US
E02XAHVZQR,DISTRIBUTOR004,US_DISTRIBUTOR,2026-05-07 03:39:54,MO,SMS,+13109154348,+523915281049,,130,109067948507159,452348595977496,US102,Tucson Central,32.2226,-110.9747,US
CUFER9TXIA,DISTRIBUTOR004,US_DISTRIBUTOR,2026-04-23 01:43:19,MO,VOICE,+13109154348,+523915281049,423,,249111378470119,411507095476883,US102,Tucson Central,32.2226,-110.9747,US
2PI66SZZEI,DISTRIBUTOR004,US_DISTRIBUTOR,2026-03-26 11:11:36,MO,VOICE,+13109154348,+523915281049,61,,480099835745844,730051513194536,US105,Phoenix West,33.448,-112.103,US
37ET0YZA6U,DISTRIBUTOR004,US_DISTRIBUTOR,2026-06-11 18:57:47,MO,SMS,+13109154348,+523915281049,,85,723546704770582,413262600225472,US102,Tucson Central,32.2226,-110.9747,US
OQUFV2EV5G,DISTRIBUTOR004,US_DISTRIBUTOR,2026-02-12 02:43:29,MO,SMS,+13109154348,+523915281049,,118,342062830017218,819511078410860,US102,Tucson Central,32.2226,-110.9747,US
FM6GFQ319W,DISTRIBUTOR004,US_DISTRIBUTOR,2026-01-20 17:48:03,MO,SMS,+13109154348,+523915281049,,58,877876220920627,799986779976148,US101,Nogales AZ East,31.3401,-110.9346,US
38RWBXMPL6,DISTRIBUTOR004,US_DISTRIBUTOR,2026-04-05 21:43:16,MO,VOICE,+13109154348,+523915281049,89,,754715290946715,345513028268925,US204,LA South Bay,33.9019,-118.4173,US
P4RGPWEF68,DISTRIBUTOR004,US_DISTRIBUTOR,2026-04-20 00:46:24,MO,SMS,+13109154348,+523915281049,,44,349650073761932,162623635394891,US102,Tucson Central,32.2226,-110.9747,US
87MCS4TF4I,DISTRIBUTOR004,US_DISTRIBUTOR,2026-06-25 09:12:00,MO,VOICE,+13109154348,+523915281049,573,,909528740930206,930310364076216,US201,San Diego East,32.7157,-117.1611,US
YRW4A590J4,DISTRIBUTOR004,US_DISTRIBUTOR,2026-04-10 22:24:18,MO,SMS,+13109154348,+523915281049,,79,828679537215493,893958297409992,US203,Los Angeles Downtown,34.0522,-118.2437,US
TZQJ9OSA9K,DISTRIBUTOR004,US_DISTRIBUTOR,2026-02-16 02:01:42,MO,VOICE,+13109154348,+523915281049,31,,170144744589724,936437993997114,US202,San Diego Border Zone,32.5421,-117.0318,US
P22QIPZWR5,DISTRIBUTOR004,US_DISTRIBUTOR,2026-06-24 04:22:35,MO,SMS,+13109154348,+523915281049,,135,848390254275480,710624298883935,US203,Los Angeles Downtown,34.0522,-118.2437,US
E41FP6ZWKT,DISTRIBUTOR004,US_DISTRIBUTOR,2026-04-04 12:02:45,MO,SMS,+13109154348,+523915281049,,118,735048710825643,574581040965332,US203,Los Angeles Downtown,34.0522,-118.2437,US
K3ZHMM3HDC,DISTRIBUTOR004,US_DISTRIBUTOR,2026-02-22 05:07:34,MO,SMS,+13109154348,+523915281049,,106,875799224767718,845070672227613,US105,Phoenix West,33.448,-112.103,US
L6QNTZI889,DISTRIBUTOR004,US_DISTRIBUTOR,2026-06-18 07:02:37,MO,VOICE,+13109154348,+523915281049,394,,625299760541937,654403231525394,US204,LA South Bay,33.9019,-118.4173,US
N43H6ZIXTQ,DISTRIBUTOR004,US_DISTRIBUTOR,2026-05-25 18:57:01,MO,SMS,+13109154348,+523915281049,,145,429650569226100,337273956273254,US203,Los Angeles Downtown,34.0522,-118.2437,US
UHJ64SH8MP,DISTRIBUTOR004,US_DISTRIBUTOR,2026-06-04 06:16:46,MO,SMS,+13109154348,+523915281049,,95,519662810540541,468687444166279,US104,Phoenix South,33.4484,-112.074,US
W0YPQU1CIN,DISTRIBUTOR004,US_DISTRIBUTOR,2026-06-17 12:48:22,MO,VOICE,+13109154348,+523915281049,175,,199756608490394,387376616948781,US104,Phoenix South,33.4484,-112.074,US
LU0V05RMI0,DISTRIBUTOR004,US_DISTRIBUTOR,2026-05-11 20:05:33,MO,SMS,+13109154348,+523915281049,,120,203447483100300,683032102509450,US102,Tucson Central,32.2226,-110.9747,US
1ZXC0BSR14,DISTRIBUTOR004,US_DISTRIBUTOR,2026-03-30 19:39:18,MO,SMS,+13109154348,+523915281049,,124,910541836600433,894462310837281,US101,Nogales AZ East,31.3401,-110.9346,US
