RecordID,SubscriberID,SubscriberRole,EventTimestamp,Direction,EventType,CallingNumber,CalledNumber,DurationSec,SMSLength,IMEI,IMSI,CellTowerID,TowerName,Latitude,Longitude,Country
S8Z4R7L6AD,DTO_LEADER003,MX_DTO_LEADER,2026-03-02 12:30:16,MO,SMS,+524008645585,+529296149297,,95,543872871523043,166080622898634,US202,San Diego Border Zone,32.5421,-117.0318,US
F1ZFZU4V6Z,DTO_LEADER003,MX_DTO_LEADER,2026-06-16 07:43:21,MT,SMS,+529296149297,+524008645585,,27,718124586857863,564451984069441,US201,San Diego East,32.7157,-117.1611,US
CQAVDFKZUA,DTO_LEADER003,MX_DTO_LEADER,2026-05-04 09:52:55,MT,VOICE,+529296149297,+524008645585,238,,695665557060866,673165877092531,US202,San Diego Border Zone,32.5421,-117.0318,US
2SR05NB3LZ,DTO_LEADER003,MX_DTO_LEADER,2026-05-05 02:40:38,MO,VOICE,+524008645585,+529296149297,585,,256776553292543,802126376110164,US201,San Diego East,32.7157,-117.1611,US
3VN0LBCHJD,DTO_LEADER003,MX_DTO_LEADER,2026-04-05 05:08:17,MT,VOICE,+529296149297,+524008645585,390,,433852761111866,830381674593168,US105,Phoenix West,33.448,-112.103,US
BO4LND8RKF,DTO_LEADER003,MX_DTO_LEADER,2026-06-18 23:23:57,MT,VOICE,+529296149297,+524008645585,571,,345267308396184,233789835768168,US204,LA South Bay,33.9019,-118.4173,US
54HAE558AC,DTO_LEADER003,MX_DTO_LEADER,2026-01-16 16:20:51,MO,SMS,+524008645585,+529296149297,,32,344825203294069,459713693633276,US203,Los Angeles Downtown,34.0522,-118.2437,US
UX5LUR9MKN,DTO_LEADER003,MX_DTO_LEADER,2026-04-14 22:35:16,MT,SMS,+529296149297,+524008645585,,141,718148276586901,697275314350271,US101,Nogales AZ East,31.3401,-110.9346,US
BOXHO9BFGF,DTO_LEADER003,MX_DTO_LEADER,2026-04-09 11:49:54,MT,SMS,+529296149297,+524008645585,,29,648122211944601,515508615179131,US201,San Diego East,32.7157,-117.1611,US
NMEUYOGNLM,DTO_LEADER003,MX_DTO_LEADER,2026-01-24 22:55:28,MT,VOICE,+529296149297,+524008645585,55,,853054365527411,314641366041542,US201,San Diego East,32.7157,-117.1611,US
CVM3YRJI7W,DTO_LEADER003,MX_DTO_LEADER,2026-06-15 19:31:18,MO,VOICE,+524008645585,+529296149297,98,,845501259784133,846572622187759,US202,San Diego Border Zone,32.5421,-117.0318,US
0J4R724KYV,DTO_LEADER003,MX_DTO_LEADER,2026-05-15 03:09:38,MO,VOICE,+524008645585,+529296149297,477,,734568634565947,841174436995325,US203,Los Angeles Downtown,34.0522,-118.2437,US
AE0O39YMSJ,DTO_LEADER003,MX_DTO_LEADER,2026-04-06 09:59:36,MT,SMS,+529296149297,+524008645585,,54,405881718899124,126647623398333,US103,Tucson South,32.181,-110.965,US
ONJCMAB9BW,DTO_LEADER003,MX_DTO_LEADER,2026-05-24 19:35:13,MO,VOICE,+524008645585,+529296149297,297,,460639583755407,262882917755564,US101,Nogales AZ East,31.3401,-110.9346,US
H53NSF1H5K,DTO_LEADER003,MX_DTO_LEADER,2026-02-17 04:58:25,MT,VOICE,+529296149297,+524008645585,320,,431198571771027,574706589714611,US103,Tucson South,32.181,-110.965,US
26BE727Q06,DTO_LEADER003,MX_DTO_LEADER,2026-06-17 22:38:39,MO,SMS,+524008645585,+529296149297,,84,489492430130253,393464319674907,US103,Tucson South,32.181,-110.965,US
QDQUIVGPQU,DTO_LEADER003,MX_DTO_LEADER,2026-05-03 12:44:44,MO,SMS,+524008645585,+529296149297,,159,463097542663977,417437442029319,US101,Nogales AZ East,31.3401,-110.9346,US
HR76YKKM7G,DTO_LEADER003,MX_DTO_LEADER,2026-04-19 04:42:35,MO,SMS,+524008645585,+529296149297,,93,918440981243595,844279986703241,US103,Tucson South,32.181,-110.965,US
2VR3YKJR0G,DTO_LEADER003,MX_DTO_LEADER,2026-01-17 21:02:05,MT,VOICE,+529296149297,+524008645585,330,,919170121912578,823934832107891,US201,San Diego East,32.7157,-117.1611,US
T13FHIQVS8,DTO_LEADER003,MX_DTO_LEADER,2026-03-29 02:41:44,MT,SMS,+529296149297,+524008645585,,40,293228392455670,702781945518802,US204,LA South Bay,33.9019,-118.4173,US
2AB37DA19L,DTO_LEADER003,MX_DTO_LEADER,2026-05-31 03:38:48,MO,SMS,+524008645585,+529296149297,,87,178417209850284,909185941550475,US105,Phoenix West,33.448,-112.103,US
6P6KQ7L51D,DTO_LEADER003,MX_DTO_LEADER,2026-05-26 00:57:41,MO,SMS,+524008645585,+529296149297,,151,723154067186956,553232945134441,US203,Los Angeles Downtown,34.0522,-118.2437,US
4MLC5GGCRA,DTO_LEADER003,MX_DTO_LEADER,2026-01-08 07:25:03,MO,SMS,+524008645585,+529296149297,,29,528760750365598,646307242591668,US201,San Diego East,32.7157,-117.1611,US
N7SP6R8X6R,DTO_LEADER003,MX_DTO_LEADER,2026-05-10 15:58:33,MT,SMS,+529296149297,+524008645585,,24,103707066372420,908243929773333,US103,Tucson South,32.181,-110.965,US
5ZBPKAZJ48,DTO_LEADER003,MX_DTO_LEADER,2026-06-28 00:43:04,MO,SMS,+524008645585,+529296149297,,43,570504602366201,925322963664897,US102,Tucson Central,32.2226,-110.9747,US
3SCJJRNAFF,DTO_LEADER003,MX_DTO_LEADER,2026-02-26 09:00:55,MO,SMS,+524008645585,+529296149297,,108,935424190020484,476766136802630,US202,San Diego Border Zone,32.5421,-117.0318,US
B6C34YIYHU,DTO_LEADER003,MX_DTO_LEADER,2026-06-19 22:26:51,MT,VOICE,+529296149297,+524008645585,363,,283358242475552,889899225834986,US203,Los Angeles Downtown,34.0522,-118.2437,US
0QMYQB9QPB,DTO_LEADER003,MX_DTO_LEADER,2026-01-12 15:31:58,MT,SMS,+529296149297,+524008645585,,134,564476859037114,828864649949931,US104,Phoenix South,33.4484,-112.074,US
