RecordID,SubscriberID,SubscriberRole,EventTimestamp,Direction,EventType,CallingNumber,CalledNumber,DurationSec,SMSLength,IMEI,IMSI,CellTowerID,TowerName,Latitude,Longitude,Country
QRZ3YP0APA,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-03-20 18:40:53,MT,VOICE,+12137093109,+13109185199,269,,401979918375591,781217053958849,US104,Phoenix South,33.4484,-112.074,US
R8Y0MNSZZM,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-06-16 15:31:48,MO,SMS,+13109185199,+12137093109,,29,160096900689722,984797579870910,US103,Tucson South,32.181,-110.965,US
HY2F1OV46M,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-01-14 07:47:11,MO,SMS,+13109185199,+12137093109,,88,557269810593512,142943541695064,US105,Phoenix West,33.448,-112.103,US
PGB5PLL2XE,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-04-17 22:16:02,MO,VOICE,+13109185199,+12137093109,190,,415308989814719,148192584274352,US104,Phoenix South,33.4484,-112.074,US
8BFP1SYFDI,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-05-27 12:02:46,MT,VOICE,+12137093109,+13109185199,297,,526996916580174,847078941923899,US203,Los Angeles Downtown,34.0522,-118.2437,US
AKWAC07PCD,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-03-02 00:03:47,MT,SMS,+12137093109,+13109185199,,131,893463543820155,838831844551295,US202,San Diego Border Zone,32.5421,-117.0318,US
PAHW6LLF5B,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-04-26 01:14:09,MO,SMS,+13109185199,+12137093109,,103,838395756038399,471178551230782,US202,San Diego Border Zone,32.5421,-117.0318,US
10GX6GGEMG,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-01-26 17:47:24,MO,VOICE,+13109185199,+12137093109,338,,879732327968124,746326511070135,US105,Phoenix West,33.448,-112.103,US
DBY20K4YKW,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-06-23 23:39:19,MT,SMS,+12137093109,+13109185199,,160,923823411041903,386825442719715,US204,LA South Bay,33.9019,-118.4173,US
TBTHXURW7J,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-03-13 13:57:33,MT,VOICE,+12137093109,+13109185199,334,,913194499195542,653665242508857,US201,San Diego East,32.7157,-117.1611,US
LU55AS04TG,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-02-09 01:49:01,MO,VOICE,+13109185199,+12137093109,156,,485961477564138,315433561250149,US105,Phoenix West,33.448,-112.103,US
X9P1EU6U3U,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-04-16 11:45:19,MT,VOICE,+12137093109,+13109185199,501,,496582926829483,428325533688162,US204,LA South Bay,33.9019,-118.4173,US
DHQRWSMS6M,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-04-21 08:38:44,MO,VOICE,+13109185199,+12137093109,534,,228590538629208,607498109786774,US101,Nogales AZ East,31.3401,-110.9346,US
PI9SXD9EQK,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-02-12 18:15:44,MO,VOICE,+13109185199,+12137093109,432,,739328421270629,808408531348023,US204,LA South Bay,33.9019,-118.4173,US
LKCBXLI61I,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-01-22 21:56:18,MT,VOICE,+12137093109,+13109185199,268,,675984018434986,619478674896649,US203,Los Angeles Downtown,34.0522,-118.2437,US
GHY9TDZA4V,PICKUP_DRIVER006,US_PICKUP_DRIVER,2026-04-29 03:57:20,MO,VOICE,+13109185199,+12137093109,474,,713828431657431,661222942874650,US202,San Diego Border Zone,32.5421,-117.0318,US
